wavenumber,reflectance
1000.0,0.501
1020.0,0.485
1040.0,0.450
1060.0,0.395
1080.0,0.320
1100.0,0.226
1120.0,0.119
1140.0,0.010
1160.0,-0.090
1180.0,-0.171
1200.0,-0.224
1220.0,-0.240
1240.0,-0.217
1260.0,-0.155
1280.0,-0.060
1300.0,0.052
1320.0,0.165
1340.0,0.264
1360.0,0.335
1380.0,0.369
1400.0,0.358
1420.0,0.301
1440.0,0.203
1460.0,0.076
1480.0,-0.061
1500.0,-0.190
1520.0,-0.291
1540.0,-0.347
1560.0,-0.348
1580.0,-0.292
1600.0,-0.187
1620.0,-0.045
1640.0,0.113
1660.0,0.265
1680.0,0.387
1700.0,0.458
1720.0,0.465
1740.0,0.407
1760.0,0.292
1780.0,0.134
1800.0,-0.048
1820.0,-0.231
1840.0,-0.388
1860.0,-0.495
1880.0,-0.534
1900.0,-0.496
1920.0,-0.380
1940.0,-0.198
1960.0,0.026
1980.0,0.264
2000.0,0.485
